item_id,timestamp,mean,0.1,0.25,0.5,0.75,0.9
TS1,2021-07-31 00:00:00,0.26254339348737976,-0.008259385991813951,0.1166753621734396,0.26254339348737976,0.40816162819822055,0.5393350793443429
TS1,2021-07-31 00:05:00,0.10265561504255055,-0.20223471161251422,-0.05579070890670462,0.10265561504255055,0.25806413207729234,0.40614252164715514
TS1,2021-07-31 00:10:00,0.10946436696114041,-0.23077475516685922,-0.0671870420038724,0.10946436696114041,0.28241791166369873,0.4427453105057421
TS1,2021-07-31 00:15:00,0.13014195088146605,-0.21555840356380135,-0.05502606085874398,0.13014195088146605,0.3118500778028981,0.4759290364044102
TS1,2021-07-31 00:20:00,0.026294035709831506,-0.3411703327676815,-0.16522304371282792,0.026294035709831506,0.21944303671612042,0.3985330642568847
TS1,2021-07-31 00:25:00,-0.09820271889945077,-0.48734550121627784,-0.302567209163643,-0.09820271889945077,0.11129651582219309,0.290756403194553
TS1,2021-07-31 00:30:00,-0.09975330630588118,-0.5154840889497285,-0.31943401399350096,-0.09975330630588118,0.11021131933159897,0.30685032868064066
TS1,2021-07-31 00:35:00,-0.12877100310721062,-0.547616817864416,-0.3489704024252428,-0.12877100310721062,0.09390885122302808,0.3063670380722586
TS1,2021-07-31 00:40:00,-0.1611007876655913,-0.6062901080091132,-0.39640994380699973,-0.1611007876655913,0.07090534459028555,0.2672259319592945
TS1,2021-07-31 00:45:00,-0.2078001069995323,-0.6578455310742923,-0.44465840653309474,-0.2078001069995323,0.026657820222018635,0.23782813758623572
TS1,2021-07-31 00:50:00,-0.2826446102070082,-0.7574127328511984,-0.5342946679771053,-0.2826446102070082,-0.04233095192604964,0.1745853929975627
TS1,2021-07-31 00:55:00,-0.3436281971390232,-0.8194761645281832,-0.6014940937119174,-0.3436281971390232,-0.09395294284544364,0.1373210647245661
TS1,2021-07-31 01:00:00,-0.36877570375664487,-0.8545225505031026,-0.6269189061838901,-0.36877570375664487,-0.10767325028465519,0.1183776996449383
TS1,2021-07-31 01:05:00,-0.4204798256879745,-0.9209622390867431,-0.6868772088997219,-0.4204798256879745,-0.16359096697022585,0.07522216460818552
TS1,2021-07-31 01:10:00,-0.42329025609706067,-0.9223741768574146,-0.6872966438310181,-0.42329025609706067,-0.1482657235659735,0.09197819515127306
TS1,2021-07-31 01:15:00,-0.44791684264880754,-0.9688751251722306,-0.7279595485982401,-0.44791684264880754,-0.16906805076812578,0.08365988870656446
TS1,2021-07-31 01:20:00,-0.48465213669959584,-1.010359313235162,-0.7686964951293377,-0.48465213669959584,-0.19956622731758616,0.05134966697390129
TS1,2021-07-31 01:25:00,-0.4560296419249508,-1.0103303061514073,-0.7422455336216076,-0.4560296419249508,-0.165585141971931,0.08568409025563813
TS1,2021-07-31 01:30:00,-0.4930550374296568,-1.0651400629436967,-0.7934214874867481,-0.4930550374296568,-0.20078545942723436,0.06109903171998703
TS1,2021-07-31 01:35:00,-0.5643016416003821,-1.122297321971669,-0.8609896589539321,-0.5643016416003821,-0.2637727971666914,0.011503117694095899
TS1,2021-07-31 01:40:00,-0.6176265148858278,-1.1967967870280467,-0.9284966112056897,-0.6176265148858278,-0.3133379189181131,-0.0338742306130556
TS1,2021-07-31 01:45:00,-0.697164632863632,-1.271570937152382,-1.010921299379648,-0.697164632863632,-0.37777576978334376,-0.10804734468954189
TS1,2021-07-31 01:50:00,-0.711082425315835,-1.3028760255213576,-1.0160608307190913,-0.711082425315835,-0.39189836880166523,-0.11312488459444951
TS1,2021-07-31 01:55:00,-0.6940224508020629,-1.3021658899888306,-1.0207828024814556,-0.6940224508020629,-0.3823931544439903,-0.08008441409943651
TS1,2021-07-31 02:00:00,-0.7010632828211558,-1.3239402247133514,-1.0283893247441482,-0.7010632828211558,-0.3763545977256234,-0.09141469442788983
TS1,2021-07-31 02:05:00,-0.7318910518848227,-1.3723405915199618,-1.0704005588867145,-0.7318910518848227,-0.4020868273096731,-0.10197606696960844
TS1,2021-07-31 02:10:00,-0.7091918111061339,-1.3369384991704523,-1.0389767990494214,-0.7091918111061339,-0.3777685223562034,-0.08262158996928658
TS1,2021-07-31 02:15:00,-0.7627211576686515,-1.4122546668899179,-1.0967460632727744,-0.7627211576686515,-0.4080846305353055,-0.12467051184486819
