time,actual,predicted
2021-05-01 00:00:00,0.8399880558957847,0.8313612789140142
2021-05-01 00:05:00,0.5690839065692951,0.6048501524729181
2021-05-01 00:10:00,0.9545100697944364,0.9063556011303124
2021-05-01 00:15:00,0.7503895656830656,0.7152689725640448
2021-05-01 00:20:00,0.5403066843795897,0.4803543527960391
2021-05-01 00:25:00,0.436330777794784,0.4588145237913158
2021-05-01 00:30:00,0.4557709227293974,0.4344160601529528
2021-05-01 00:35:00,0.4128747804932989,0.3742330522516658
2021-05-01 00:40:00,0.466333313276358,0.4638279991775652
2021-05-01 00:45:00,0.3821422133937567,0.3489176380401749
2021-05-01 00:50:00,0.2457022892548968,0.2404345547839147
2021-05-01 00:55:00,0.2683529449852589,0.2561016115931215
2021-05-01 01:00:00,0.0274689713095506,0.0468101661486433
2021-05-01 01:05:00,-0.1094133139955874,-0.0514750569936405
2021-05-01 01:10:00,0.0536815842837169,0.0499986771410453
2021-05-01 01:15:00,-0.0002857995341713,-0.0284722134403546
2021-05-01 01:20:00,-0.0253355182767414,-0.0525378848264518
2021-05-01 01:25:00,-0.0692113683718977,-0.0726959912166786
2021-05-01 01:30:00,-0.1500562638494624,-0.1535700709409321
2021-05-01 01:35:00,-0.0518100199168331,-0.0552411263066711
2021-05-01 01:40:00,-0.0307435870749057,-0.057413214655926
2021-05-01 01:45:00,-0.0960895584996205,-0.1016470715268861
2021-05-01 01:50:00,-0.3036370047135543,-0.3218123889825529
2021-05-01 01:55:00,-0.1968468126721201,-0.198493014301223
2021-05-01 02:00:00,-0.2737952661589863,-0.2977820796048741
2021-05-01 02:05:00,-0.2316590081348994,-0.2325674998462001
2021-05-01 02:10:00,-0.3978796087041477,-0.4101856515216037
2021-05-01 02:15:00,-0.5738525089729086,-0.5514146281101399
2021-05-01 02:20:00,-0.5794532626962616,-0.5566733192646917
2021-05-01 02:25:00,-0.4787713184769167,-0.445355591231421
2021-05-01 02:30:00,-0.3730965279038281,-0.411537997994858
2021-05-01 02:35:00,-0.5901832348506926,-0.597879671857927
2021-05-01 02:40:00,-0.5021791445471048,-0.512099097463763
2021-05-01 02:45:00,-0.5751836632800217,-0.5978584237511223
2021-05-01 02:50:00,-0.573537699799361,-0.6091563029522172
2021-05-01 02:55:00,-0.4965044378066899,-0.5550752538812868
2021-05-01 03:00:00,-0.6266909219615225,-0.6229624640097337
2021-05-01 03:05:00,-0.7314056802489002,-0.7625992712581843
2021-05-01 03:10:00,-0.6764239867015858,-0.683075157220801
2021-05-01 03:15:00,-0.7345829461103734,-0.7518769745767623
2021-05-01 03:20:00,-0.8215347324739346,-0.7956681096326884
2021-05-01 03:25:00,-0.8360994060268382,-0.8410426404054215
2021-05-01 03:30:00,-0.940389443317145,-0.9403298157610062
2021-05-01 03:35:00,-0.8197958188709118,-0.8343297298253584
2021-05-01 03:40:00,-0.8924556758362377,-0.8789366334551142
2021-05-01 03:45:00,-0.9078311187046358,-0.9148387046745392
2021-05-01 03:50:00,-1.039588934855021,-1.0164323405576308
2021-05-01 03:55:00,-0.9301011538609456,-0.931089973723092
2021-05-01 04:00:00,-0.9357337955824814,-0.9373168754547716
2021-05-01 04:05:00,-0.9963840896577928,-0.9937652030941444
2021-05-01 04:10:00,-1.0509118880820394,-1.040594652130667
2021-05-01 04:15:00,-0.9989846576797928,-0.9768303985351304
2021-05-01 04:20:00,-1.068501850654014,-1.0596667708261431
2021-05-01 04:25:00,-1.0329976177838671,-1.0268994704537728
2021-05-01 04:30:00,-1.020097226348878,-1.0082827933658247
2021-05-01 04:35:00,-1.0517857549258527,-1.0513344646141742
2021-05-01 04:40:00,-1.0092044218633018,-1.011862443698592
2021-05-01 04:45:00,-1.0523726297860223,-1.049813289934664
2021-05-01 04:50:00,-1.099546513054918,-1.0831108177316675
2021-05-01 04:55:00,-1.0849479160996929,-1.0836149714022578
2021-05-01 05:00:00,-1.0419160802543064,-1.042172346214502
2021-05-01 05:05:00,-1.0245649384346782,-1.0213596307712034
2021-05-01 05:10:00,-1.09281882390643,-1.0846659945399917
2021-05-01 05:15:00,-1.0858943790244748,-1.085320815218611
2021-05-01 05:20:00,-1.0878137651278506,-1.087683525505727
2021-05-01 05:25:00,-1.086819130971771,-1.0871205618622664
2021-05-01 05:30:00,-1.0779210225427251,-1.0754649114223322
2021-05-01 05:35:00,-1.081558289739684,-1.079255214282912
2021-05-01 05:40:00,-1.0821546631525036,-1.0841433088371015
2021-05-01 05:45:00,-1.105725321553837,-1.102097741235357
2021-05-01 05:50:00,-1.0260575681368438,-1.02199472016031
2021-05-01 05:55:00,-1.079868904304051,-1.079977169008944
2021-05-01 06:00:00,-1.077897954629146,-1.0810417640331618
2021-05-01 06:05:00,-1.1062470634815489,-1.0998336592401212
2021-05-01 06:10:00,-1.0957647321640678,-1.0931175468994665
2021-05-01 06:15:00,-1.0751562652534867,-1.07607325906969
2021-05-01 06:20:00,-1.061902391966303,-1.06240036130288
2021-05-01 06:25:00,-1.104061717903969,-1.106209798244836
2021-05-01 06:30:00,-1.0528122770801147,-1.0490767928653806
2021-05-01 06:35:00,-1.11911081764203,-1.111720570015623
2021-05-01 06:40:00,-1.109696395029644,-1.1068509630549126
2021-05-01 06:45:00,-1.1211618265464145,-1.117980016964739
2021-05-01 06:50:00,-1.1232250478756352,-1.118620501396381
2021-05-01 06:55:00,-1.1234787949250034,-1.1207575295956669
2021-05-01 07:00:00,-1.114736055678592,-1.1167304458630862
2021-05-01 07:05:00,-1.1096312620971858,-1.1111060832062687
2021-05-01 07:10:00,-1.1208558374574706,-1.1219377867782352
2021-05-01 07:15:00,-1.0690127370929825,-1.071393237210432
2021-05-01 07:20:00,-1.0981719367928329,-1.106086486712175
2021-05-01 07:25:00,-1.131781208409276,-1.125664960727536
2021-05-01 07:30:00,-1.1230988528189976,-1.1205000848130475
2021-05-01 07:35:00,-1.1216794976658475,-1.1187905026753835
2021-05-01 07:40:00,-1.1220743660688748,-1.1202210227510845
2021-05-01 07:45:00,-1.10991621867669,-1.1140039683877514
2021-05-01 07:50:00,-1.1104440668168194,-1.1103295210786566
2021-05-01 07:55:00,-1.120469789139047,-1.1195013074129203
2021-05-01 08:00:00,-1.1051913672012896,-1.108772644110959
2021-05-01 08:05:00,-1.119247189719364,-1.1175579755526452
2021-05-01 08:10:00,-1.1161140242809091,-1.114766469473525
2021-05-01 08:15:00,-1.114785583845982,-1.114130082833017
2021-05-01 08:20:00,-1.111689734150081,-1.1136835981760125
2021-05-01 08:25:00,-1.1117799704002578,-1.1094842235715443
2021-05-01 08:30:00,-1.1063970049198115,-1.107650123866679
2021-05-01 08:35:00,-1.1085253591814903,-1.1100215877185655
2021-05-01 08:40:00,-1.0844472066814208,-1.0862862926414347
2021-05-01 08:45:00,-1.0956683897014734,-1.0995411052680903
2021-05-01 08:50:00,-1.1019557530878226,-1.1016640327251843
2021-05-01 08:55:00,-0.9980056282887816,-0.9978542982916588
2021-05-01 09:00:00,-1.0965096900790576,-1.103167443044813
2021-05-01 09:05:00,-1.0998979595029734,-1.1003683184309831
2021-05-01 09:10:00,-1.087380224046176,-1.088073960081547
2021-05-01 09:15:00,-1.0971338806817814,-1.0925465045983769
2021-05-01 09:20:00,-1.100789466515994,-1.0974184173355208
2021-05-01 09:25:00,-1.052971717071028,-1.0503543324791191
2021-05-01 09:30:00,-1.072864400192616,-1.0731010891324242
2021-05-01 09:35:00,-1.0961290695050054,-1.0951866698162032
2021-05-01 09:40:00,-1.10193336364229,-1.0984687425445283
2021-05-01 09:45:00,-1.084295908307065,-1.0819449186857948
2021-05-01 09:50:00,-1.0832246072617375,-1.0843396471829605
2021-05-01 09:55:00,-1.0753801597088115,-1.0817847881191394
2021-05-01 10:00:00,-1.0440267943467776,-1.0431903786267778
2021-05-01 10:05:00,-1.0580039145714653,-1.0626887303926107
2021-05-01 10:10:00,-1.0490372808697288,-1.051268654998412
2021-05-01 10:15:00,-1.0396235367253892,-1.0412916350098296
2021-05-01 10:20:00,-1.061071947077462,-1.0601150134800177
2021-05-01 10:25:00,-1.0669719052092943,-1.066912041698006
2021-05-01 10:30:00,-1.0517491176513452,-1.0493109697337697
2021-05-01 10:35:00,-1.035934705956901,-1.0306625022851132
2021-05-01 10:40:00,-0.9978923241250264,-1.007551566282191
2021-05-01 10:45:00,-0.9831824584101848,-0.9879303799745596
2021-05-01 10:50:00,-1.035186355701679,-1.0251909430055004
2021-05-01 10:55:00,-0.9697392925380448,-0.9725064133210164
2021-05-01 11:00:00,-0.9760741486876446,-0.9800223625908894
2021-05-01 11:05:00,-0.9372291391568328,-0.9358735609195628
2021-05-01 11:10:00,-0.9228123716380529,-0.920830029069466
2021-05-01 11:15:00,-0.8869478722352468,-0.8954992194914576
2021-05-01 11:20:00,-0.8396247259961346,-0.8461420651680692
2021-05-01 11:25:00,-0.8968507918410689,-0.8885705331060217
2021-05-01 11:30:00,-0.8914529000636011,-0.8873583656142637
